Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 12/24  11:00:00,3.0,20.220582606483504,18.545286090539545,42.042735759647954,4243.266104806333,0.0
 12/24  12:00:00,3.0,20.225049614812146,20.036136825611237,39.9756816501437,4035.367237248456,0.0
 12/24  13:00:00,4.0,20.23211250901328,19.989328402338387,35.63746106209159,3596.813616939078,0.0
 12/24  14:00:00,5.0,20.236303099149,23.24812543216072,30.451040060293252,3072.5805441381776,0.0
 12/24  15:00:00,5.0,20.223113111719513,22.60943330108189,30.79343425724357,3106.6578479942664,0.0
 12/24  16:00:00,4.0,20.212033193879904,20.500358004124543,34.12970882467858,3444.8459686556357,0.0
 12/24  17:00:00,4.0,20.214641912447203,19.17445585445081,35.1260755769294,3547.2915621837274,0.0
 12/24  18:00:00,4.0,20.21799410010114,19.059820366766797,35.493772443157944,3584.473873482291,0.0
 12/24  19:00:00,4.0,20.218268784664772,18.260654670374805,36.50325923711352,3686.271827010869,0.0
 12/24  20:00:00,3.0,20.215072150288094,17.216682844075812,38.87096161269558,3925.557048807212,0.0
 12/24  21:00:00,3.0,20.21604978925272,16.656858702391673,40.14512660915224,4054.285092147567,0.0
 12/24  22:00:00,3.0,20.21340181516886,16.636097473436262,42.81435231855752,4323.997485805036,0.0
 12/24  23:00:00,3.0,18.72737581334081,17.098874672221847,23.11284746750228,2334.591248618807,0.0
 12/24  24:00:00,3.0,18.567404262973213,15.915662949042643,26.113635860420928,2775.475404598008,0.0
 12/25  01:00:00,3.0,18.54721250516328,17.132200353972188,28.214783916377392,3014.572349204747,0.0
 12/25  02:00:00,3.0,18.554166265415805,17.293755709872695,27.518600283691647,2942.4639381986394,0.0
 12/25  03:00:00,4.0,18.548209791769313,15.739545846957325,29.689935925066095,3174.14047251113,0.0
