Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),HEATING_FUEL_BACKUP:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_BACKUP:Heating Coil Electricity Rate [W](Hourly) 
 07/21  11:00:00,28.009999999999999,25.081629067745064,44.181535110196687,0.0,0.0,0.0,0.0 
 07/21  12:00:00,29.31,25.406655440678255,48.67993918787369,0.0,0.0,0.0,0.0 
 07/21  13:00:00,30.35,25.54538815618163,51.70805610269196,3.078709988711097,0.0,0.0,0.0 
 07/21  14:00:00,31.0,25.586029535494796,53.16064542179863,9.73290096057118,0.0,0.0,0.0 
 07/21  15:00:00,31.0,25.57753533822304,52.998456408361018,17.096238369248927,0.0,0.0,0.0 
 07/21  16:00:00,30.22,25.556014861114404,51.20492453195422,20.50556430217965,0.0,0.0,0.0 
 07/21  17:00:00,29.18,25.540259020439039,48.04196289276067,20.553702661697004,0.0,0.0,0.0 
 07/21  18:00:00,27.88,25.52836411966278,43.680198761403897,18.74358014801874,0.0,0.0,0.0 
 07/21  19:00:00,25.93,25.50947653045284,38.25022215329483,14.217242141367145,0.0,0.0,0.0 
 07/21  20:00:00,24.5,25.50999713539546,32.700388189135839,3.9217609656016094,0.0,0.0,0.0 
 07/21  21:00:00,23.33,25.208358731442634,27.975398988162408,0.0,0.0,0.0,0.0 
 07/21  22:00:00,22.16,24.788171283734884,24.635953002408827,0.0,0.0,0.0,0.0 
 07/21  23:00:00,21.25,24.360398473005835,22.213086340987187,0.0,0.0,0.0,0.0 
 07/21  24:00:00,20.34,23.93509579974752,20.36101520382634,0.0,0.0,0.0,0.0 
 01/01  01:00:00,8.0,21.166428768356299,4.434730677262827,0.0,0.0,0.0,0.0 
 01/01  02:00:00,7.0,20.894761712019528,6.5335732345262749,0.0,0.0,0.0,0.0 
 01/01  03:00:00,8.0,20.706214656815946,7.552056649349776,0.0,0.0,0.0,0.0 
 01/01  04:00:00,8.0,20.553617238999448,8.05272053845631,0.0,0.0,0.0,0.0 
 01/01  05:00:00,7.0,20.65385541068729,8.120098607332749,4.725304871399622,63.81710304882789,0.0,0.0 
 01/01  06:00:00,7.0,20.4897225749569,7.962033281363638,5.081898916689888,68.76762589500791,0.0,0.0 
 01/01  07:00:00,7.0,20.69123496528101,7.9889044830399229,8.33037802846757,112.3514939904243,0.0,0.0 
 01/01  08:00:00,7.0,20.509302566980588,7.913996265324716,6.978878652163803,94.4778577495665,0.0,0.0 
 01/01  09:00:00,6.0,20.583137212249605,7.666827357593982,10.611309159579314,141.64265532149205,0.0,0.0 
 01/01  10:00:00,6.0,20.561808077271583,7.55339577094124,9.19221198058351,122.81870341241248,0.0,0.0 
 01/01  11:00:00,7.0,20.581927608473835,7.700729144351495,8.903244971858412,120.15722373202724,0.0,0.0 
 01/01  12:00:00,8.0,20.583413657343823,8.042144483902144,5.365541570836486,73.2596583455999,0.0,0.0 
 01/01  13:00:00,8.0,20.556597483504548,8.38482859901266,5.717092410763468,78.10152612889454,0.0,0.0 
 01/01  14:00:00,9.0,20.578476348792284,8.849267275800326,5.165140742506486,71.38033223250872,0.0,0.0 
 01/01  15:00:00,9.0,20.556224938541676,9.148608244695139,4.109836365207266,56.857210912555867,0.0,0.0 
 01/01  16:00:00,9.0,20.476028091370826,9.279397950327362,4.472360409212156,61.87646348521428,0.0,0.0 
 01/01  17:00:00,7.0,20.458136637507736,8.530654164090342,7.82523438345065,105.73256939867324,0.0,0.0 
 01/01  18:00:00,6.0,20.570957561414195,7.726894374132541,13.082606999032649,174.639365509014,0.0,0.0 
 01/01  19:00:00,6.4,20.49302723582698,7.588805621637167,17.283532098702076,231.87465792865147,0.0,0.0 
 01/01  20:00:00,4.9,20.54861451015334,7.225424675454885,31.04830394757665,336.7137566191984,0.0,0.0 
 01/01  21:00:00,2.9,20.52479762957816,6.1462253084615539,37.68571571434971,412.50687659339436,0.0,0.0 
 01/01  22:00:00,0.1,20.48925035960774,4.703019594486147,49.255336562068197,541.9604776350751,0.0,0.0 
 01/01  23:00:00,-2.1,20.488040358724665,5.219209555466798,189.6217433053669,0.0,3117.3241008802576,0.0 
 01/01  24:00:00,-3.8,20.518834801957707,3.6783340655654737,189.6217433053669,0.0,3421.969724834936,0.0 
