Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 11/02  08:00:00,-5.3500000000000005,14.06111111,0.0,602.659812182038,0.0,18.9253063623741,12.332980006621248,110.30222386822213,0.0,1161.507338211339,49.13866140379333,47.09047279010802,0.0
 11/02  09:00:00,-3.6166666666666667,14.06111111,0.0,421.9884233830881,0.0,18.924936185892854,14.680154780694352,80.74902482917595,0.0,864.2579892233556,38.00196493017075,88.1999589155764,0.0
 11/02  10:00:00,-0.9166666666666666,14.05555556,0.0,455.3132738435956,0.0,18.924617698680333,18.166985982350823,46.94185703579485,0.0,517.2113773038991,22.61898930961645,135.19028172156465,0.0
 11/02  11:00:00,1.925,14.049999999999999,0.0,467.7984887248169,0.0,18.92451823995121,22.083541249688405,24.06568810203908,0.0,273.6062955941938,12.093496329819331,166.85705617901348,0.0
 11/02  12:00:00,4.933333333333334,14.044444440000001,0.0,545.6583822955859,0.0,18.929025681942374,24.90317276618242,9.750370550479118,0.0,119.29092502417915,3.070067102223206,186.61400759399626,0.0
 11/02  13:00:00,7.383333333333333,14.03888889,0.0,604.6106476730856,0.0,18.958797939897174,25.732524835302087,0.7829911981580394,0.0,10.502847199740591,0.0,198.92669915150842,0.0
 11/02  14:00:00,9.291666666666666,14.03333333,0.0,698.0318879237308,0.0,19.52187801493888,24.884701096979075,0.0,0.0,0.0,0.0,166.66666666666666,0.0
 11/02  15:00:00,10.350000000000001,14.022222220000002,0.0,776.4717406012707,0.0,20.02511967532077,23.716177213280627,0.0,0.0,0.0,0.0,0.0,0.0
 11/02  16:00:00,10.891666666666666,14.016666670000001,0.0,896.3023850640644,0.0,20.222192405895797,20.71474210264545,0.0,0.0,0.0,0.0,0.0,0.0
 11/02  17:00:00,10.808333333333332,14.01111111,0.0,1014.3911170538041,0.0,20.07475144545407,16.49735939835686,0.0,0.0,0.0,0.0,0.0,0.0
 11/02  18:00:00,8.966666666666667,14.0,0.0,658.9770011521806,0.0,19.552262734139717,12.280748341868064,0.0,0.0,0.0,0.0,166.66666666666669,0.0
 11/02  19:00:00,6.808333333333334,13.99444444,0.0,564.8471237324294,0.0,18.963835520608303,9.2164530376764,6.518312932871299,0.0,82.97461025936991,0.0,191.06489214943608,0.0
 11/02  20:00:00,2.891666666666667,13.99444444,0.0,520.9909322568254,0.0,18.897892212218043,8.141337522341733,37.96548549067395,0.0,396.4230604175215,35.68213166467812,147.52865049517104,0.0
 11/02  21:00:00,0.25,13.98888889,0.0,460.1240835707711,0.0,18.91801890582526,7.531422876104826,68.76464675878123,0.0,699.7152992237498,66.85062208401287,104.55845133171226,0.0
 11/02  22:00:00,0.6416666666666667,13.983333329999999,0.0,404.4958262185803,0.0,18.928200816135426,7.112850574557299,80.67498300941617,0.0,814.5918048252615,84.55353056495545,88.01056342181325,0.0
 11/02  23:00:00,-0.5333333333333332,13.977777779999998,0.0,276.4963443107484,0.0,18.91634309701662,6.998533269748261,97.63340903735563,0.0,987.6256935867135,93.5441139978899,64.29671370347798,0.0
 11/02  24:00:00,-1.9916666666666671,13.977777779999998,0.0,249.78958795612144,0.0,18.919838489127613,7.084199606559138,119.99766617907568,0.0,1218.1121754096428,102.37406907620107,33.02541449750268,0.0
 11/03  01:00:00,-2.1999999999999997,13.97222222,0.0,311.3538681570108,0.0,18.926463050829934,6.9514169121196145,127.62859726970926,0.0,1295.7482760298406,107.05462084041937,22.38497460018308,0.0
 11/03  02:00:00,-1.9083333333333332,13.97222222,0.0,288.12813594992025,0.0,18.923976532215068,6.572985601368109,131.9706791946039,0.0,1337.4108749473094,113.50988788116804,16.375481035392337,0.0
 11/03  03:00:00,-2.341666666666667,13.97222222,0.0,284.15068513740084,0.0,18.92324814326361,6.478420292213316,142.06059536857393,0.0,1434.3390897469383,117.30247203110387,3.063033218879496,4.03967006925518
 11/03  04:00:00,-3.0916666666666663,13.96666667,0.0,280.3050011034811,0.0,18.92344439077962,6.2942933455622985,145.9033968450626,0.0,1456.6885263681306,111.7300394669705,0.0,172.37665167582327
 11/03  05:00:00,-3.008333333333333,13.96666667,0.0,388.45773371248055,0.0,18.923359545107328,6.065086333593474,145.9033968450626,0.0,1455.2939864277052,112.54700970804788,0.0,262.9702514657045
 11/03  06:00:00,-2.8000000000000003,13.96666667,0.0,567.9484691356159,0.0,18.924654666845782,6.911626623601765,145.9033968450626,0.0,1458.1488338536867,114.56563202309843,0.0,179.93528641153088
 11/03  07:00:00,-3.0916666666666663,13.96666667,0.0,996.7756819564137,0.0,18.92629720556039,8.219344504132723,144.57420897814646,0.0,1458.607815972572,111.27689775616135,0.7969297960093121,37.27509932397523
 11/03  08:00:00,-3.3000000000000003,13.96666667,0.0,814.445948088547,0.0,18.926360675587087,9.835845120655362,126.8651345933103,0.0,1300.5707654892337,96.87047811055618,23.342782248141237,0.0
 11/03  09:00:00,-2.3666666666666667,13.96111111,0.0,570.2831923042135,0.0,18.92518225338983,12.498029733114969,99.53791252576531,0.0,1027.8609955168583,82.07394808943128,61.45489315561221,0.0
 11/03  10:00:00,0.28333333333333327,13.955555559999999,0.0,615.3190299021229,0.0,18.924883886145675,16.006982849665246,62.67692743523145,0.0,650.4820463694685,63.27864202111933,112.9439092694847,0.0
 11/03  11:00:00,2.983333333333333,13.950000000000001,0.0,632.1917870786943,0.0,18.924600164163824,20.22723523156272,34.27756957935119,0.0,358.39330777785904,41.21869200623021,152.5746326440074,0.0
 11/03  12:00:00,5.183333333333334,13.94444444,0.0,737.4131301241536,0.0,18.924698521330168,23.234377889186973,15.562502237118215,0.0,179.6747506712477,12.293826333889497,178.5905406296139,0.0
 11/03  13:00:00,7.383333333333333,13.93888889,0.0,817.0823443256186,0.0,18.933285215920815,24.807681251335538,4.856011661801397,0.0,65.26661067682473,0.0,193.34352487083206,0.0
 11/03  14:00:00,9.291666666666666,13.933333329999998,0.0,943.3335876465557,0.0,19.046817412285495,24.312190436595213,0.0,0.0,0.0,0.0,166.66666666666666,0.0
 11/03  15:00:00,10.641666666666667,13.92777778,0.0,1049.3386984744664,0.0,19.364018352178828,22.34997142644274,0.0,0.0,0.0,0.0,0.0,0.0
 11/03  16:00:00,11.1,13.92222222,0.0,1211.2801136257424,0.0,19.44563597896495,18.225762433002433,0.0,0.0,0.0,0.0,0.0,0.0
 11/03  17:00:00,11.1,13.911111110000002,0.0,1370.8674750854896,0.0,19.289839879576235,13.679036420196452,0.0,0.0,0.0,0.0,0.0,0.0
 11/03  18:00:00,10.108333333333333,13.911111110000002,0.0,890.5540698469877,0.0,18.960584503228052,10.412518572752184,3.9524952939730498,0.0,52.48703378053673,0.0,95.41679965402638,0.0
 11/03  19:00:00,8.116666666666667,13.905555559999998,0.0,763.3451607594325,0.0,18.921653618768733,8.156244200852447,16.143544280828298,0.0,208.72555539230018,0.0,177.87091372797659,0.0
 11/03  20:00:00,4.633333333333334,13.9,0.0,704.0770683399695,0.0,18.90067837432105,7.582643169592752,45.946872517841946,0.0,484.1473535147382,47.155665801991454,136.6329843075674,0.0
 11/03  21:00:00,2.158333333333333,13.9,0.0,621.8204497912919,0.0,18.917659898549978,8.046841632901119,75.17422273140134,0.0,758.7610273310244,86.64901995065308,95.86807238503796,0.0
 11/03  22:00:00,1.0583333333333333,13.9,0.0,546.6433633423393,0.0,18.92508773796882,7.5849236251779955,86.65862254456778,0.0,875.5460429526194,93.39002767404115,79.76605755555201,0.0
 11/03  23:00:00,-0.09999999999999998,13.9,0.0,373.6624256889457,0.0,18.91907816998844,6.967722143056687,103.10883153516892,0.0,1044.0209253553796,100.70636647192153,56.781026892902396,0.0
 11/03  24:00:00,-0.6,13.9,0.0,337.5704065100663,0.0,18.9253478753051,7.435843583753936,112.21952126731743,0.0,1139.3657769613828,105.07709082424962,44.06273412821995,0.0
 11/04  01:00:00,-0.8916666666666666,13.9,0.0,285.1793827234389,0.0,18.9243024131876,8.2039874066023,115.1319509452709,0.0,1170.1049794435237,107.14756261234021,39.932608150944084,0.0
 11/04  02:00:00,-1.0999999999999999,13.9,0.0,263.9061606712308,0.0,18.92500636973789,9.067935921234877,116.19882225633883,0.0,1184.0225328263584,107.04330628976068,38.40369362921995,0.0
 11/04  03:00:00,-2.091666666666667,13.905555559999998,0.0,260.263080936133,0.0,18.921920129348614,9.496754745210863,125.23477759073425,0.0,1280.5739399221206,106.11233978619053,25.718601745611526,0.0
 11/04  04:00:00,-2.8000000000000003,13.905555559999998,0.0,256.7406907842639,0.0,18.924745975284253,9.661488340415923,133.9515148945097,0.0,1372.189338206603,106.93837059752191,13.51388063733959,0.0
 11/04  05:00:00,-2.4499999999999997,13.905555559999998,0.0,355.80138242704123,0.0,18.927845372837595,9.770026277868213,126.730185877972,0.0,1297.91373940004,104.19186954638623,23.600157026459243,0.0
 11/04  06:00:00,-2.841666666666667,13.905555559999998,0.0,520.2029279595764,0.0,18.923118138999943,10.164779622302524,128.60907729729396,0.0,1319.3098980742077,102.22691043637967,20.948010733185416,0.0
 11/04  07:00:00,-3.008333333333333,13.905555559999998,0.0,912.9800614865562,0.0,18.926350095253458,10.000086490277061,129.61772766873943,0.0,1329.7606845974399,101.5857481224193,19.529123924280643,0.0
 11/04  08:00:00,-3.4416666666666664,13.911111110000002,0.0,745.9781826778881,0.0,18.92582199596325,11.015805854134276,114.50891659914133,0.0,1178.2914980065634,86.54295382476853,40.53640978458255,0.0
 11/04  09:00:00,-2.2666666666666666,13.911111110000002,0.0,522.3413787069268,0.0,18.92501676272848,13.608202375256305,88.08307405447097,0.0,912.56200377511,73.09792221389743,77.40396008687786,0.0
 11/04  10:00:00,0.5333333333333332,13.91666667,0.0,563.5912030390537,0.0,18.924717834389902,16.898352232534947,55.326614520553086,0.0,575.6271583493472,57.05398586743518,123.17497170182257,0.0
 11/04  11:00:00,2.983333333333333,13.91666667,0.0,579.0455235681006,0.0,18.924736321047273,20.253220349377077,31.71244085549475,0.0,331.54832431879066,38.14732992392198,156.1239554969578,0.0
 11/04  12:00:00,5.183333333333334,13.92222222,0.0,675.4212578303878,0.0,18.924581132541963,23.41574110488308,14.376424939421748,0.0,164.5494763302187,12.364262885371774,180.21536545227866,0.0
 11/04  13:00:00,7.733333333333333,13.92777778,0.0,748.3929458409503,0.0,18.931291552509013,26.206718330051256,2.5049812208798135,0.0,33.72733664460831,0.0,196.5662468797215,0.0
