Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/20  05:00:00,4.3999999999999995,7.883333333,0.0,278.07787776648644,0.0,18.764699319848674,7.855553609313262,12.305931703924237,127.09440160384997,0.0,1374.0539899535388,157.06239694303625,86.513484990969,0.0
 01/20  06:00:00,4.108333333333333,7.877777778,0.0,287.3974199990446,0.0,18.759890304657077,7.021242396352425,12.233740110140166,133.39532268354318,0.0,1439.799266060032,164.29321239617,80.80790200006356,0.0
 01/20  07:00:00,3.5500000000000003,7.872222222,0.0,320.1973168383056,0.0,18.763922403028218,6.6506402352112675,12.275717923138465,139.5871720935647,0.0,1519.6097524763854,158.85812591564945,75.20275846449972,0.0
 01/20  08:00:00,3.008333333333333,7.866666667,0.0,412.33624817246863,0.0,18.761678994470365,5.662485261816539,12.331290914807106,143.10913883891573,0.0,1583.243053123034,140.9197964895205,72.0661900144468,0.0
 01/20  09:00:00,2.8000000000000003,7.866666667,0.0,487.57972862201296,0.0,18.76772709172266,6.1171813798862535,12.177234951518598,142.00895010195137,0.0,1594.8341390914118,121.5267467167583,73.1396547464385,0.0
 01/20  10:00:00,2.8000000000000003,7.861111111,0.0,496.4174407873816,0.0,18.763942532558847,7.185304241765578,12.148347737152092,138.31022503596017,0.0,1548.6674618682982,121.58379446438953,76.41926934437898,0.0
 01/20  11:00:00,4.7250000000000005,7.855555556,0.0,515.547282500513,0.0,18.77862749134988,7.019269255478427,12.011040570827197,116.93732684999414,0.0,1398.8203397059724,69.64605929800926,95.89699557484114,0.0
 01/20  12:00:00,7.733333333333333,7.8500000000000005,0.0,521.2417532766575,0.0,18.76362356663894,7.919408149977037,11.6484731616175,82.48649825552206,0.0,1133.0589504519376,0.0,126.79670711135641,0.0
 01/20  13:00:00,8.9,7.8500000000000005,0.0,570.0930105511271,0.0,18.764873749237363,11.663585090214175,11.434118066544556,61.57616724279515,0.0,857.8648465400012,0.0,145.35374514661646,0.0
 01/20  14:00:00,10.183333333333334,7.844444444,0.0,597.5859224225013,0.0,18.76534685717701,13.463059926788828,11.520370120011597,53.560818307132706,0.0,758.1192156792458,0.0,50.35570597083921,0.0
 01/20  15:00:00,11.1,7.838888889000001,0.0,593.2126086853804,0.0,18.76938345069154,12.97275249708253,11.709508936627449,50.92670015136111,0.0,729.5864327770322,0.0,0.0,0.0
 01/20  16:00:00,11.741666666666667,7.838888889000001,0.0,610.1578933533139,0.0,18.785883455663626,12.808185514839712,11.755500644251399,43.05899018830681,0.0,622.230450967394,0.0,0.0,0.0
