Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 07/17  02:00:00,16.1,23.458636189201624,14.680774217771365,23.233122815261137,0.0,0.0,0.0
 07/17  03:00:00,15.6,22.94200064510556,13.88821354730406,22.50882686634635,0.0,0.0,0.0
 07/17  04:00:00,15.0,22.235588750364933,13.498487969122655,21.84548607895065,0.0,0.0,0.0
 07/17  05:00:00,16.9,22.04131699070121,13.43188658444235,22.011516132227513,0.0,0.0,0.0
 07/17  06:00:00,18.7,22.373988969315153,14.845861609813984,22.25542577756908,0.0,0.0,0.0
 07/17  07:00:00,20.6,23.215349893083708,18.804244247278707,22.718506794333084,0.0,0.0,0.0
 07/17  08:00:00,23.2,23.31997488288802,24.43874113888245,23.094819602056273,7.787635262164625,0.0,0.0
 07/17  09:00:00,25.7,23.46098192860932,30.202082093040186,23.74231729901531,17.83995911007664,0.0,0.0
 07/17  10:00:00,28.3,23.54619159782658,35.0945007002101,24.472417458893176,32.60013751287645,0.0,0.0
 07/17  11:00:00,30.3,23.57501921000302,38.62704963660474,25.102267030579906,45.894419274167895,0.0,0.0
 07/17  12:00:00,32.4,23.585979594565792,40.97210343895605,25.64026241055367,56.684700778193445,0.0,0.0
 07/17  13:00:00,34.4,23.601889496858856,42.28218691471806,26.48994620738646,66.64729539669598,0.0,0.0
 07/17  14:00:00,35.7,23.584149074991043,42.501924595566145,27.001527573297633,77.9650517078187,0.0,0.0
 07/17  15:00:00,37.0,23.569156697617117,42.12533903526584,28.018960402094024,87.72942973375844,0.0,0.0
 07/17  16:00:00,38.3,23.54628775153986,40.93861154746242,28.9580286145122,95.96339051887385,0.0,0.0
 07/17  17:00:00,36.5,23.301232753195308,38.990289336893376,27.625573201576017,93.57537904163571,0.0,0.0
 07/17  18:00:00,34.6,23.195777505087708,36.62099940812136,27.55954959333859,84.04639735537256,0.0,0.0
 07/17  19:00:00,32.8,23.154663414423595,33.626057924645536,26.537902769514336,71.09877983727543,0.0,0.0
 07/17  20:00:00,29.8,23.077638597773692,29.98467361325522,25.905762685758752,53.041694899831235,0.0,0.0
 07/17  21:00:00,26.9,23.093897356048473,26.693954253840815,25.06718451734957,36.26883076098791,0.0,0.0
 07/17  22:00:00,23.9,23.170214758938943,23.778037382610922,24.591234734143622,24.14526847205412,0.0,0.0
 07/17  23:00:00,22.0,24.275457227496283,21.848469053989955,24.29520695574818,5.734423395475365,0.0,0.0
 07/17  24:00:00,20.2,24.298875655271672,20.067844770447206,23.754152954304512,3.2224977305735116,0.0,0.0
 07/18  01:00:00,18.3,24.258879455265593,18.57716279174474,23.362260000497788,0.27211194434638725,0.0,0.0
 07/18  02:00:00,17.4,24.031497018675083,17.041671148468012,23.42360869878369,0.0,0.0,0.0
 07/18  03:00:00,16.5,23.607052047614918,15.619015347766402,23.802501442177665,0.0,0.0,0.0
 07/18  04:00:00,15.6,23.115017480558993,14.055852532902358,24.178126424581624,0.0,0.0,0.0
 07/18  05:00:00,17.3,22.92968828886304,13.066844836135115,23.926999333485547,0.0,0.0,0.0
 07/18  06:00:00,18.9,23.330903889446805,14.126152377863313,23.87986583576112,0.33577670497430756,0.0,0.0
 07/18  07:00:00,20.6,23.21362920628308,18.491178444007907,23.863741769156483,6.243932295662165,0.0,0.0
