Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/18  21:00:00,7.008333333333333,2.8083333333333336,0.0,0.0,0.0,24.62251675932833,7.074838149068029,13.48785942918146,0.0,0.0
 10/18  22:00:00,6.45,2.308333333333333,0.0,0.0,0.0,26.01202297711426,8.70510024194145,14.255145062586477,42.76036536877933,3568.781693216104
 10/18  23:00:00,6.433333333333334,0.875,0.0,0.0,0.0,25.31141723598826,6.677297374661475,14.39566956713557,0.0,0.0
 10/18  24:00:00,6.425,0.0,0.0,0.0,0.0,24.911057161058725,6.550058284729001,15.69274060001267,28.793628562369936,2403.117316899193
 10/19  01:00:00,5.833333333333333,1.2249999999999999,0.0,0.0,0.0,25.512173299188987,6.079722196315771,14.573795597165349,0.0,0.0
 10/19  02:00:00,5.325,0.875,0.0,0.0,0.0,24.775905697589405,5.2708462265447835,14.394954655418815,5.868290622699774,489.7677548857796
 10/19  03:00:00,5.433333333333334,1.8083333333333333,0.0,0.0,0.0,25.559708711322813,6.524207337273924,14.472080313458234,23.0050220399079,1920.0
 10/19  04:00:00,6.533333333333332,3.6833333333333336,0.0,0.0,0.0,24.933915735707245,6.611268609066188,12.801267418899457,39.635532510333064,3307.983025959498
 10/19  05:00:00,7.316666666666666,4.1000000000000005,0.0,0.0,0.0,24.918287854309963,7.522968224564224,12.345838009461099,14.510946731695775,1211.084157038583
 10/19  06:00:00,7.3999999999999995,3.516666666666667,0.0,0.0,0.0,25.374063056628632,8.29721340371277,12.933078324342079,26.679547313088054,2226.6760167526513
 10/19  07:00:00,7.283333333333334,3.975,14.562868740193984,0.0,0.0,25.134954169173792,8.50894190883845,12.897691094574732,40.54864585124401,3384.1914995487737
 10/19  08:00:00,6.908333333333334,4.016666666666667,28.046664088438963,0.0,0.0,24.973205011906348,9.12496474392271,12.325918000377259,0.0,0.0
 10/19  09:00:00,7.341666666666666,4.825,34.44445489840239,0.0,0.0,25.156406207769205,12.346968791584779,12.54771320224163,39.978557984263034,3336.611944845254
 10/19  10:00:00,8.558333333333334,6.283333333333334,38.31580983706014,0.0,0.0,25.264611634833063,13.698665544762806,12.150954489670537,0.0,0.0
 10/19  11:00:00,10.674999999999999,6.116666666666667,30.12608081111688,0.0,0.0,24.839993926392196,16.411416420797433,12.95692697288454,0.0,0.0
 10/19  12:00:00,13.141666666666666,6.575,23.738145143269165,0.0,0.0,24.809629239570203,18.292259158114703,13.958809461460435,0.0,0.0
 10/19  13:00:00,14.391666666666666,8.424999999999999,25.4431507662273,0.0,0.0,24.963469745178262,18.17936812755534,14.606912762616064,0.0,0.0
 10/19  14:00:00,14.366666666666667,10.466666666666667,23.215430781834865,0.0,0.0,25.137566561803453,17.248448664390136,14.587911579223658,0.0,0.0
 10/19  15:00:00,14.200000000000001,10.716666666666669,16.493179136201395,0.0,0.0,25.256522300684107,16.41966075771251,14.498873215554253,0.0,0.0
 10/19  16:00:00,14.141666666666666,10.299999999999999,10.568457548561328,0.0,0.0,25.432588286927185,15.722675418836687,14.50033689335327,0.0,0.0
 10/19  17:00:00,13.575000000000001,11.174999999999999,4.784911628139379,0.0,0.0,25.520465031322857,14.740397164797537,14.112003250844921,0.0,0.0
 10/19  18:00:00,12.733333333333333,10.341666666666669,0.0,0.0,0.0,25.469912332604853,13.655094630589675,13.638004246958213,0.0,0.0
 10/19  19:00:00,12.049999999999999,8.658333333333333,0.0,0.0,0.0,25.479000482623736,12.60844806881917,13.39071400001358,0.0,0.0
