Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/05  07:00:00,8.3,8.883333333,0.0,449.71410205278596,0.0,19.80894551502492,9.766769719892537,5.187813338492418,0.0,106.84309845882585,0.0,194.51032727869867,0.0
 01/05  08:00:00,8.3,8.877777778,0.0,449.71410205278596,0.0,19.720119779207554,9.577442978741738,5.536514175414049,0.0,114.31605098248419,0.0,194.14133684912014,0.0
 01/05  09:00:00,7.8,8.872222222,0.0,449.71410205278596,0.0,19.662571410132163,9.691907950113292,5.294157228855244,0.0,108.51328914119107,0.0,194.3977956365769,0.0
 01/05  10:00:00,10.0,8.866666667,0.0,449.71410205278596,0.0,19.735342358801446,12.212049801662843,0.23073423398168427,0.0,4.847300473595589,0.0,0.0,0.0
 01/05  11:00:00,11.1,8.866666667,0.0,449.71410205278596,0.0,20.11717079365227,15.555166273794383,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  12:00:00,12.8,8.861111111,0.0,449.71410205278596,0.0,20.560262947509838,19.358456385517943,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  13:00:00,13.3,8.855555556,0.0,449.71410205278596,0.0,21.09862230301295,24.172606849778592,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  14:00:00,13.3,8.85,0.0,449.71410205278596,0.0,21.507379905641216,26.44346534511034,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  15:00:00,15.0,8.85,0.0,449.71410205278596,0.0,21.86822517785337,25.34230999502923,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  16:00:00,13.9,8.844444444,0.0,449.71410205278596,0.0,22.028465386085404,23.094377937770158,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  17:00:00,12.8,8.844444444,0.0,449.71410205278596,0.0,22.13940038701086,21.892020694213308,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  18:00:00,10.6,8.838888889,0.0,449.71410205278596,0.0,21.644434422440828,18.406959491868896,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  19:00:00,8.9,8.833333333,0.0,449.71410205278596,0.0,21.2323954562863,15.311544952094463,0.0,0.0,0.0,0.0,200.0,0.0
