Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),WATER HEATER:Water Heater Electricity Rate [W](Hourly)
 07/21  23:00:00,21.653249999999998,21.778426685548369,210.46863387153435,845.168612191959,0.0,25.555436377096016,20.46807827301281,1.3911261834938076,0.0,18.47794532052157,410.3619182394505
 07/21  24:00:00,20.54025,21.778426685548369,85.90556484552423,734.43579766537,0.0,25.321529919038818,19.043516828503713,0.0,0.0,0.0,403.9497408737996
 12/21  01:00:00,-14.1,11.628460802149517,34.36222593820969,607.4902723735411,0.0,20.507880545589225,6.056733523125374,14.028718942122918,1170.8374076821288,0.0,0.0
 12/21  02:00:00,-14.1,11.628460802149517,34.36222593820969,559.338521400778,0.0,20.509636432157188,6.0547473564689799,15.913159001208996,1328.1128455047374,0.0,0.0
 12/21  03:00:00,-14.1,11.628460802149517,34.36222593820969,552.853437094682,0.0,20.51115240582631,6.05330940229665,17.07657259232556,1425.2113873391598,0.0,0.0
 12/21  04:00:00,-14.1,11.628460802149517,34.36222593820969,545.071335927367,0.0,20.511435003534435,6.050704936598674,17.879362769679877,1492.2122855711382,0.0,396.4830054821438
 12/21  05:00:00,-14.1,11.628460802149517,103.08667781462906,524.481193255512,0.0,20.513933386728348,6.048183107822323,18.091091360539303,1509.8831616844009,0.0,0.0
 12/21  06:00:00,-14.1,11.628460802149517,214.76391211381057,585.278858625162,0.0,20.517744895113994,6.046231037263937,17.657881444764589,1473.727445908752,0.0,335.02850993822946
 12/21  07:00:00,-14.1,11.628460802149517,240.53558156746784,676.2321660181581,0.0,20.517161484163699,6.044150127951206,17.34611138691464,1447.7071052182069,0.0,516.4793614527296
 12/21  08:00:00,-14.1,11.628460802149517,214.76391211381057,718.547341115435,0.0,20.514648252626125,6.042020281692585,17.4042758332306,1452.561512083495,0.0,447.4790556571711
 12/21  09:00:00,-14.1,11.628460802149517,94.49612133007664,607.4902723735411,0.0,20.506734004820389,6.038641830265691,18.49259335111784,1543.3925328370784,0.0,903.0413658985954
 12/21  10:00:00,-14.1,11.628460802149517,64.42917363414317,517.023346303502,0.0,20.506191579498837,6.036009275749922,19.44998140693719,1623.2961757887943,0.0,896.6798074252289
 12/21  11:00:00,-14.1,11.628460802149517,64.42917363414317,529.1828793774321,0.0,20.507893059761025,6.03467124812206,19.94309448253742,1664.4514115242792,0.0,441.3581519496572
 12/21  12:00:00,-14.1,11.628460802149517,64.42917363414317,529.345006485084,0.0,20.50850660982598,6.033490741603385,20.236663488387366,1688.9526917340568,0.0,433.7600336059047
 12/21  13:00:00,-14.1,11.628460802149517,64.42917363414317,520.428015564202,0.0,20.508373303108063,6.031974867257762,20.486829610059858,1709.8315656068119,0.0,453.1416093604528
 12/21  14:00:00,-14.1,11.628460802149517,64.42917363414317,538.424124513619,0.0,20.50851051678597,6.030490448870722,20.659292504276587,1724.2253252094627,0.0,600.2812625663069
 12/21  15:00:00,-14.1,11.628460802149517,64.42917363414317,568.741893644617,0.0,20.50868499227049,6.029279793963468,20.74180916643182,1731.1121689196412,0.0,221.95646164123085
 12/21  16:00:00,-14.1,11.628460802149517,111.67723429918149,600.356679636835,0.0,20.510689518376425,6.028477312582465,20.495593433218845,1710.562994615489,0.0,419.62222771188569
 12/21  17:00:00,-14.1,11.628460802149517,240.53558156746784,710.11673151751,0.0,20.516603293451206,6.029040143307494,19.46213694237478,1624.3106772311176,0.0,423.5364416426928
 12/21  18:00:00,-14.1,11.628460802149517,335.03170289754447,862.6783398184181,0.0,20.519759440405275,6.030217785379086,18.210395097038174,1519.840255995394,0.0,756.0079815172153
 12/21  19:00:00,-14.1,11.628460802149517,451.00421543900219,936.608300907912,0.0,20.522113792715133,6.031774524915244,16.901787802560887,1410.623842247222,0.0,542.5656430445442
 12/21  20:00:00,-14.1,11.628460802149517,499.8141954648682,966.763942931258,0.0,20.520567484211978,6.0330368971195729,16.10955067344959,1344.503701816364,0.0,438.881138785515
 12/21  21:00:00,-14.1,11.628460802149517,499.8141954648682,1000.0,0.0,20.518658769754575,6.034055190559159,15.766326014023529,1315.858158901654,0.0,846.7615352816958
 12/21  22:00:00,-14.1,11.628460802149517,377.98448532030656,976.653696498055,0.0,20.511984025366428,6.034291100746236,16.38434452842032,1367.4380072314403,0.0,452.0830170623707
 12/21  23:00:00,-14.1,11.628460802149517,210.46863387153435,845.168612191959,0.0,20.504510573331218,6.033484633369161,17.87644845627831,1491.9690568656277,0.0,419.5613589820738
 12/21  24:00:00,-14.1,11.628460802149517,85.90556484552423,734.43579766537,0.0,20.501556394494324,6.032449296016292,19.471362639171937,1625.080654230914,0.0,0.0
